(140, 45, 65)
(214, 183, 136)
(169, 67, 18)
(203, 123, 60)
(168, 83, 63)
(194, 144, 137)
(157, 135, 111)
(183, 167, 142)
(189, 111, 109)
(209, 160, 146)
(41, 70, 104)
(24, 14, 23)
(58, 34, 60)
(22, 4, 4)
(208, 149, 133)
(34, 39, 68)
(45, 77, 118)
(32, 51, 107)
(25, 15, 14)
(216, 193, 161)
(103, 165, 144)
(35, 30, 50)
(50, 56, 88)
(82, 91, 122)
(64, 94, 120)
(37, 42, 72)
(45, 30, 27)
(186, 96, 108)
(226, 188, 177)
(202, 79, 97)
(235, 184, 167)
(77, 55, 93)
(130, 76, 92)
(90, 45, 52)
(53, 35, 25)
(112, 131, 99)
(222, 209, 177)
(102, 153, 154)
(52, 43, 46)
(72, 111, 154)
(65, 79, 114)
(56, 40, 27)
(70, 65, 88)
(235, 214, 197)
(194, 200, 188)
(240, 204, 180)
(198, 198, 188)
(100, 118, 104)
(230, 214, 180)
(106, 122, 138)
(217, 199, 163)
(231, 198, 157)
(227, 125, 110)
(244, 165, 99)
(241, 191, 138)
(229, 222, 196)
(173, 200, 207)
(108, 146, 121)
(218, 185, 154)
(230, 219, 127)
(226, 62, 64)
(221, 216, 122)
(213, 185, 148)
(97, 140, 121)
(170, 199, 207)
(232, 219, 200)
(246, 191, 137)
(228, 115, 59)
(236, 168, 97)
(226, 119, 113)
(243, 200, 166)
(215, 202, 168)
(85, 111, 138)
(232, 229, 188)
(73, 116, 107)
(204, 206, 203)
(239, 212, 195)
(194, 211, 205)
(53, 62, 93)
(33, 27, 37)
(50, 78, 125)
(53, 112, 172)
(35, 35, 59)
(85, 164, 171)
(223, 216, 198)
(97, 137, 110)
(23, 13, 21)
(80, 26, 62)
(44, 42, 92)
(243, 201, 187)
(204, 79, 113)
(225, 196, 192)
(172, 88, 111)
(28, 22, 36)
(15, 40, 96)
(58, 110, 149)
(84, 104, 154)
(28, 60, 109)
(19, 40, 69)
(101, 183, 171)
(230, 211, 179)
(36, 46, 82)
(27, 71, 136)
(49, 101, 161)
(31, 50, 92)
(226, 168, 157)
(10, 8, 19)
(54, 43, 86)
(17, 23, 47)
(49, 95, 154)
(222, 182, 182)
(202, 126, 138)
(201, 192, 177)
(166, 153, 136)
(199, 163, 167)
(184, 102, 91)
(214, 139, 74)
(195, 99, 51)
(231, 207, 173)
(199, 116, 124)
(156, 59, 94)
(204, 130, 103)
(157, 154, 145)
(221, 192, 194)
(145, 56, 84)
(34, 89, 119)
(5, 17, 41)
(59, 131, 111)
(6, 115, 118)
(120, 180, 126)
(9, 16, 24)
(181, 203, 141)
(52, 136, 138)
(1, 54, 94)
(2, 10, 13)
(36, 80, 115)
(49, 82, 123)
(0, 4, 15)
(8, 27, 59)
(6, 52, 88)
(45, 25, 37)
(182, 142, 117)
(43, 97, 125)
(21, 77, 110)
(62, 135, 168)
(6, 18, 32)
(53, 138, 143)
(53, 133, 124)
(51, 79, 116)
(3, 0, 11)
(4, 31, 98)
(101, 157, 180)
(45, 66, 97)
